Building ID,Owner ID,zip_code,neighborhood,block,address,building_class_category,tax_class,building_class,year_built,LandUse
6507,O82022,11231,CARROLL GARDENS,354,128 CARROLL STREET,03 THREE FAMILY HOMES,1,C0,1899,2
6508,O194804,11231,CARROLL GARDENS,422,410 DEGRAW ST,03 THREE FAMILY HOMES,1,C0,1899,2
6509,O256397,11205,CLINTON HILL,1929,327 VANDERBILT AVENUE,01 ONE FAMILY HOMES,1,A9,1930,1
6510,O156635,11231,COBBLE HILL,323,453 HENRY ST,02 TWO FAMILY HOMES,1,B9,1899,1
6511,O156628,11216,CROWN HEIGHTS,1239,1467 BEDFORD AVENUE,07  RENTALS - WALKUP APARTMENTS,2,C7,1906,4
6512,O6911,11207,EAST NEW YORK,3753,302 SHEFFIELD AVENUE,30  WAREHOUSES,4,E9,1916,6
6513,O356003,11226,FLATBUSH-CENTRAL,5083,100 LENOX ROAD,02 TWO FAMILY HOMES,1,B3,1899,1
6514,O394164,11226,FLATBUSH-CENTRAL,5217,615 EAST 17TH   STREET,07  RENTALS - WALKUP APARTMENTS,2A,C2,1931,2
6515,O194818,11217,FORT GREENE,2111,1 HANSON PLACE,13  CONDOS - ELEVATOR APARTMENTS,2,R4,0,NA
6516,O305923,11214,GRAVESEND,6861,2300 86TH   STREET,22  STORE BUILDINGS,4,K2,1928,5
6517,O120058,11222,GREENPOINT,2559,159 GREENPOINT AVENUE,14  RENTALS - 4-10 UNIT,2A,S4,1930,4
